company,ipo_date,issue_price,listing_price,current_price,sector,subscribed_times
Zomato,2021-07-23,76,115,220,Food Tech,38.25
Paytm,2021-11-18,2150,1955,650,Fintech,1.89
Nykaa,2021-11-10,1125,2001,150,E-commerce,81.78
LIC,2022-05-17,949,867,980,Insurance,2.95
Delhivery,2022-05-24,487,493,390,Logistics,1.63
PolicyBazaar,2021-11-01,980,1150,550,Fintech,16.59
Devyani International,2021-08-04,90,140,175,QSR,32.11
Cartrade,2021-08-20,1618,1600,690,Automobile,2.79
Windlas Biotech,2021-08-04,460,580,310,Pharma,11.98
Nazara Technologies,2021-03-17,1101,1971,850,Gaming,175.46
Star Health Insurance,2021-12-10,900,870,510,Insurance,3.21
Go Fashion,2021-11-17,690,1310,1050,Fashion,35.36
Adani Wilmar,2022-02-08,230,270,310,FMCG,17.37
Campus Activewear,2022-04-26,292,382,180,Footwear,51.75
Vedant Fashions,2022-02-04,866,901,1100,Fashion,2.57
Mamaearth,2023-10-31,324,330,180,FMCG,4.29
Ideaforge Technology,2023-06-26,672,876,310,Drone Tech,106.89
Yatra Online,2023-09-15,142,135,90,Travel Tech,2.02
Zaggle Prepaid,2023-09-22,164,169,210,Fintech,11.77
JSW Infrastructure,2023-09-25,113,143,280,Infrastructure,37.37
Signature Global,2023-09-19,385,470,900,Real Estate,11.88
IREDA,2023-11-21,32,50,220,Green Energy,38.80
Tata Technologies,2023-11-30,500,1200,1050,IT,69.43
Muthoot Microfin,2023-12-18,291,277,180,Microfinance,11.71
Inox India,2023-12-21,660,1150,950,Industrial,61.30
Emcure Pharmaceuticals,2024-07-10,1008,1325,1180,Pharma,67.04
Premier Energies,2024-09-03,450,991,950,Solar Energy,74.10
Waaree Energies,2024-10-28,1503,2550,2800,Solar Energy,76.34
Afcons Infrastructure,2024-10-25,463,426,380,Construction,2.63
NTPC Green Energy,2024-11-22,108,111,130,Green Energy,2.55
One Mobikwik,2024-12-11,279,442,200,Fintech,119.62
Vishal Mega Mart,2024-12-11,78,99,90,Retail,27.36
Senores Pharmaceuticals,2024-12-20,391,680,520,Pharma,215.77
Carraro India,2024-12-20,704,620,450,Auto Components,1.98
DAM Capital,2024-12-19,269,500,460,Finance,82.63
Bajaj Housing Finance,2024-09-09,70,150,110,Finance,63.61
Swiggy,2024-11-13,390,420,350,Food Tech,3.59
Hyundai India,2024-10-22,1960,1820,1750,Automobile,2.37
Ixigo,2024-06-18,93,138,100,Travel Tech,98.34
Droom Technology,2023-01-01,950,900,600,Automobile,1.20
